Name,Artist,Album,Track Number
Rhiannon,Fleetwood Mac,Fleetwood Mac,4
Say You Love Me,Fleetwood Mac,Fleetwood Mac,7
World Turning,Fleetwood Mac,Fleetwood Mac,9
Tusk,Fleetwood Mac,Greatest Hits,11
Over My Head,Fleetwood Mac,Greatest Hits,15
Go Your Own Way (Remastered Single),Fleetwood Mac,The Very Best Of Fleetwood Mac,4
The Chain (Remastered Version),Fleetwood Mac,The Very Best Of Fleetwood Mac,18
Second Hand News (Remastered Version),Fleetwood Mac,The Very Best Of Fleetwood Mac,22
Gold Dust Woman (Remastered Version),Fleetwood Mac,The Very Best Of Fleetwood Mac,26
