Name,Artist,Album,Track Number
John McLaughlin,Miles Davis,Bitches Brew (Legacy Edition),4
Miles Davis (Album Version),"John McLaughlin, The One Truth Band",Electric Dreams,2
Birds of Fire,The Mahavishnu Orchestra,Birds Of Fire,1
