Name,Artist,Album,Track Number
Life Begins At The Hop (2001 - Remaster),XTC,Drums And Wires,13
Hallogallo,Neu!,NEU!,1
Fall out of Love,TOY,Join the Dots,11
Away / Towards,Hookworms,Pearl Mystic,1
Jenny Ondioline,Stereolab,Transient Random-Noise Bursts With Announcements,7
Moonshake,Can,Future Days (Remastered Version),3
Roadrunner,The Modern Lovers,The Modern Lovers,1
Get On Top,Tim Buckley,Greetings From L.A.,2
