Name,Artist,Album,Track Number
Outburn,Ruins,1986-1992,1
Sanctuary,Ruins,1986-1992,4
Body & Soul,Ruins,1986-1992,3
Spiritual,Magma,Attahk,2
Lirik Necronomicus Kant,Magma,Attahk,4
Booldemug,Weidorje,Weidorje,3
Elohims voyage,Weidorje,Weidorje,1
Atlanta,Rahmann,Rahmann,1
Kobah (Live),Magma,Trilogy,2
