Name,Artist,Album,Track Number
Tryin' to Get Over,D Train,You're the One for Me,3
Time,The Alan Parsons Project,The Essential Alan Parsons Project,14
Controversy,Prince,Controversy,1
Yearning For Your Love,The Gap Band,Ultimate Collection: The Gap Band,6
The Tide Is High,Blondie,Greatest Hits: Blondie,5
