Name,Artist,Album,Track Number
Monkey Man,The Rolling Stones,Let It Bleed,8
Midnight Rambler,The Rolling Stones,Let It Bleed,6
Loving Cup,The Rolling Stones,Exile On Main Street (Deluxe Version),9
Can't You Hear Me Knocking,The Rolling Stones,Sticky Fingers (Remastered),4
Before They Make Me Run,The Rolling Stones,Some Girls (Deluxe Version),8
Bitch,The Rolling Stones,"Jump Back - The Best Of The Rolling Stones, '71 - '93 (2009 Re-mastered)",17
Soul Survivor,The Rolling Stones,Exile On Main Street (Deluxe Version),18
