Name,Artist,Album,Track Number
Trilogy,The Mahavishnu Orchestra,The Lost Trident Sessions,2
John's Song #2,The Mahavishnu Orchestra,The Lost Trident Sessions,6
Vital Transformation (Remastered),The Mahavishnu Orchestra,The Inner Mounting Flame,5
One Word (Remastered),The Mahavishnu Orchestra,Bonus Disc: Unreleased Tracks From Between Nothingness & Eternity,4
Guardian Angel (Live),"Al Di Meola, John McLaughlin, Paco De Lucía",Friday Night In San Francisco,5
