Name,Artist,Album,Track Number
Hot 'Lanta (Live At The Final Fillmore East Concert/1971),The Allman Brothers Band,Eat A Peach (Deluxe Edition),16
In Memory Of Elizabeth Reed (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),7
Mountain Jam (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),12
Les Brers In A Minor,The Allman Brothers Band,Eat A Peach (Deluxe Edition),2
It Ain't Fair,Duane Allman,An Anthology Volume 2: Duane Allman,2
