Name,Artist,Album,Track Number
Burning Down One Side,Robert Plant,Nine Lives [Digital Version],1
Little By Little,Robert Plant,Shaken 'N' Stirred,6
Kallalou Kallalou,Robert Plant,Shaken 'N' Stirred,2
Big Log,Robert Plant,Nine Lives [Digital Version],18
Heaven Knows,Robert Plant,Now And Zen,1
Hurting Kind (I've Got My Eyes On You),Robert Plant,Manic Nirvana,1
Fortune Teller,Robert Plant & Alison Krauss,Raising Sand,9
In The Mood (2006 Remastered Version),Robert Plant,Nine Lives [Digital Version],12
