Name,Artist,Album,Track Number
Left to Die,Death,Leprosy (Deluxe Reissue),4
Chopped In Half (Demo),Obituary,Cause of Death (Reissue),12
Suffocation,Morbid Angel,Altars Of Madness,2
Regurgitated Guts,Death,Scream Bloody Gore,6
Spiritual Healing,Death,Spiritual Healing,5
Leprosy (Live in Germany April 13th 1993),Death,Individual Thought Patterns,11
