Name,Artist,Album,Track Number
You're All I've Got Tonight,The Cars,The Cars,6
Dangerous Type,The Cars,Candy-O,11
Since You're Gone,The Cars,Shake It Up,1
Just What I Needed,The Cars,The Cars,3
Shake It Up,The Cars,Shake It Up,2
Let's Go,The Cars,Complete Greatest Hits,7
